"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"211","Santi Aldama","Mem","F-C","22.2","73","22.2","15.8","10","137","0.745","244","0.598","258","0.357","0.566","0.596","9.2","4.8","1.2","0.6","0.6","0.8","13.9","10.4","15.2","6.8","121","105.7"
"212","Deni Avdija","Was","F","22.2","74","26.4","16.6","17","160","0.738","334","0.539","223","0.305","0.506","0.544","9.2","6.5","2.7","0.8","0.4","1.5","15.7","11.9","18.4","8.3","107.9","105.6"
"213","Donte DiVincenzo","Gol","G","26.2","67","26.3","15","17","64","0.844","146","0.493","351","0.396","0.564","0.586","9.2","4.4","3.3","1.3","0.1","1.5","13.6","12.5","16.9","7.8","115.2","110.4"
"214","Tari Eason","Hou","F","21.9","77","21.2","19.3","13.4","138","0.746","447","0.497","159","0.346","0.502","0.534","9.2","5.9","1","1.1","0.5","1.2","15.2","10.3","16.2","7.1","110.4","108.8"
"215","Josh Green","Dal","G","22.4","57","25.4","14.9","15.7","94","0.723","205","0.634","161","0.404","0.622","0.642","9.2","2.9","1.7","0.7","0.1","1.2","12.1","10.9","13.8","5.6","120","109.4"
"216","Rui Hachimura","Lal","F","25.1","27","22.3","16.8","6.4","49","0.735","148","0.527","56","0.339","0.522","0.552","9.2","4.4","0.6","0.3","0.3","0.5","13.6","9.8","14.2","5.2","112.7","112.9"
"217","Jalen Smith","Ind","F-C","23","65","18.4","21.3","12.6","132","0.765","295","0.59","184","0.272","0.52","0.558","9.2","5.7","1","0.3","0.8","1.1","14.9","10.2","15.9","8.1","112.5","107.8"
"218","Dorian Finney-Smith","Dal","F","29.9","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.5","113.5"
"219","Walker Kessler","Uta","C","21.7","72","22.9","13.2","12.4","157","0.522","394","0.721","2","0.5","0.721","0.702","9.1","8.4","0.9","0.4","2.4","0.8","17.4","10","18.4","7.2","140.3","107.1"
"220","Andrew Nembhard","Ind","G-F","23.2","70","27.3","15.7","15.8","51","0.804","331","0.508","249","0.345","0.512","0.527","9.1","2.6","4.3","0.9","0.2","1.6","11.7","13.3","16","6.8","107.6","114.4"
"221","Eugene Omoruyi","Det","F","26.1","13","22.1","18","10.9","27","0.741","62","0.548","36","0.278","0.5","0.537","9.1","3.7","0.9","0.7","0.2","0.9","12.8","10","13.7","5.6","109.5","108.1"
"222","Jae'Sean Tate","Hou","F","27.4","31","21.8","18.8","17","69","0.725","183","0.53","46","0.283","0.509","0.546","9.1","3.8","2.7","0.7","0.2","1.5","12.9","11.8","15.6","8.3","111.1","106.5"
"223","Jose Alvarado","Nor","G","25","61","21.5","19.8","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.5","105.6"
"224","Bol Bol","Orl","C-F","23.4","67","21.4","17.8","19.3","100","0.76","343","0.644","99","0.293","0.598","0.622","9","5.8","0.9","0.4","1.2","1.6","14.8","9.9","15.7","6.7","108.2","109.3"
"225","Terance Mann","Lac","G-F","26.4","76","23.2","15.4","13","114","0.789","310","0.606","186","0.387","0.597","0.624","9","3.5","2.3","0.5","0.3","1","12.4","11.3","14.8","7.2","124.4","110.4"
"226","Taurean Prince","Min","F","29","49","21.8","16.9","16.4","65","0.862","161","0.571","169","0.396","0.583","0.615","9","2.4","1.7","0.5","0.3","1.3","11.4","10.7","13","6.1","110","108.4"
"227","Landry Shamet","Pho","G","26","35","21","18.8","11.2","47","0.894","89","0.393","181","0.376","0.507","0.544","9","1.6","2.2","0.7","0.1","1","10.7","11.2","12.9","6","110.7","111.6"
"228","Luka Samanic","Uta","F","23.2","1","24.9","19.7","19.2","4","1","4","0.25","4","0.25","0.313","0.461","9","9","4","1","1","2","18","13","22","11","98.9","95.7"
"229","Precious Achiuwa","Tor","F","23.5","49","21.1","18.9","13.5","118","0.686","261","0.552","91","0.253","0.507","0.542","8.9","5.9","1","0.6","0.6","1.1","14.9","9.9","15.9","7.1","110.5","107.1"
"230","Keita Bates-Diop","San","F","27.2","61","21.2","16.1","10.7","123","0.789","280","0.55","120","0.383","0.558","0.598","8.9","3.6","1.4","0.7","0.3","0.8","12.5","10.3","13.9","6.7","119.8","119.2"
"231","Jalen Duren","Det","C","19.4","61","24.5","14","17.6","140","0.614","353","0.646","2","0","0.642","0.651","8.9","8.7","1.2","0.6","0.9","1.2","17.5","10.1","18.7","7.4","127.9","108.1"
"232","Royce O'Neale","Bro","F","29.8","71","31.8","13.5","16.1","67","0.731","168","0.375","386","0.396","0.528","0.543","8.9","5.1","3.6","0.9","0.6","1.5","14","12.6","17.6","6.9","108.8","108.3"
"233","Shaedon Sharpe","Por","G","19.8","75","21.5","17.8","10.8","82","0.707","312","0.554","241","0.369","0.554","0.57","8.9","2.8","0.9","0.5","0.3","0.9","11.7","9.9","12.6","5.2","109.8","114.3"
"234","Ayo Dosunmu","Chi","G","23.2","74","26.5","14.9","15","79","0.81","356","0.581","177","0.328","0.552","0.574","8.8","2.8","2.6","0.8","0.3","1.3","11.6","11.4","14.2","6","110.8","108.4"
"235","AJ Griffin","Atl","F","19.6","67","19.3","17.8","7","42","0.905","254","0.547","239","0.381","0.559","0.576","8.8","2.1","1","0.6","0.2","0.6","10.9","9.8","11.9","5.5","115.7","114.6"
"236","Jaden Hardy","Dal","G","20.7","43","14.7","26.5","12.2","75","0.84","155","0.452","139","0.417","0.534","0.576","8.8","1.8","1.3","0.4","0.1","1","10.6","10.1","11.9","7.5","108.7","109.5"
"237","Dennis Smith Jr.","Cha","G","25.3","54","25.7","17.5","15.3","106","0.736","341","0.475","111","0.216","0.438","0.475","8.8","3.1","4.8","1.4","0.5","1.5","11.9","13.6","16.7","7.9","103.1","109.4"
"238","Cedi Osman","Cle","F","28","72","20.5","18","8.7","98","0.684","207","0.575","295","0.363","0.557","0.574","8.7","2.3","1.5","0.5","0.1","0.7","11","10.2","12.5","6.1","114.6","106.9"
"239","Steven Adams","Mem","C","29.7","42","27","14.6","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","118.1","103"
"240","Gary Harris","Orl","G","28.5","45","24.9","12.7","8.8","30","0.9","84","0.512","207","0.44","0.617","0.634","8.6","2","1.2","1","0.2","0.6","10.6","9.8","11.8","4.4","123.6","110.2"
"241","Josh Richardson","Nor","G","29.5","18","24","15.3","12.4","21","0.762","55","0.491","72","0.389","0.543","0.565","8.6","2.5","1.8","1.4","0.5","1","11.1","10.4","12.9","5.6","110.9","106.1"
"242","Daniel Gafford","Was","F-C","24.5","73","20.2","14.7","17.5","169","0.657","349","0.731","0","0","0.731","0.733","8.5","5.3","1","0.4","1.3","1","13.8","9.5","14.9","7","136.8","106.1"
"243","Draymond Green","Gol","F","33.1","68","31.5","13.1","29.3","101","0.703","320","0.616","122","0.311","0.575","0.595","8.5","7.3","6.9","1","0.8","2.7","15.8","15.4","22.6","9.6","114.8","106.2"
"244","Kevin Love","Cle","F-C","34.6","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","112","102"
"245","Mark Williams","Cha","C","21.3","39","18.2","16.9","13.7","88","0.682","213","0.638","0","0","0.638","0.659","8.5","6.7","0.5","0.6","1.1","0.9","15.2","9","15.7","6.7","126.5","102.9"
"246","Cam Reddish","Nyk","F-G","23.6","20","21.9","16.3","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113","111.5"
"247","Damion Lee","Pho","G-F","30.4","71","20.5","16.2","14.6","102","0.902","192","0.443","241","0.448","0.57","0.613","8.3","3","1.4","0.4","0.1","1","11.3","9.6","12.7","6.4","115.5","110.1"
"248","T.J. McConnell","Ind","G","31","72","20.2","18.8","21.8","63","0.841","432","0.544","55","0.436","0.556","0.578","8.3","3","5.2","1.1","0.1","1.9","11.3","13.4","16.5","10","114.2","114.3"
"249","Shake Milton","Phi","G-F","26.5","71","20.3","18.3","15.7","109","0.853","320","0.522","137","0.387","0.539","0.58","8.3","2.5","2.8","0.3","0.2","1.2","10.8","11.1","13.6","7.6","115.3","110"
"250","Aleksej Pokusevski","Okc","C","21.3","33","20.9","18.3","14.6","35","0.629","144","0.479","102","0.373","0.512","0.524","8.3","4.8","1.9","0.6","1.3","1.3","13.1","10.2","15","8.1","106.1","108.3"
"251","Jarred Vanderbilt","Uta","F","24","52","24.1","14.1","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.7","105.4"
"252","Grant Williams","Bos","F","24.3","74","26.4","13","14.7","116","0.784","175","0.543","277","0.397","0.575","0.607","8.3","4.7","1.7","0.6","0.4","1.1","12.9","9.9","14.6","6.1","118.7","105.2"
"253","Georges Niang","Phi","F","29.8","73","19.5","16.9","9.2","44","0.864","107","0.57","364","0.404","0.598","0.613","8.2","2.4","1","0.4","0.2","0.7","10.6","9.3","11.7","5.5","115.3","107.3"
"254","Jevon Carter","Mil","G","27.5","77","22.3","15.4","12.2","38","0.816","220","0.432","317","0.42","0.548","0.56","8.1","2.5","2.3","0.8","0.4","1","10.6","10.4","12.9","6.5","112.8","106.2"
"255","Nick Richards","Cha","C","25.3","61","18.7","15.7","15.7","167","0.743","296","0.622","0","0","0.622","0.666","8.1","6.3","0.6","0.2","1.1","0.9","14.4","8.6","15","6.7","130","104.4"
"256","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.3","113.2"
"257","Kemba Walker","Dal","G","32.9","9","16","22.1","6.5","21","0.81","29","0.586","28","0.25","0.482","0.543","8","1.8","2.1","0.2","0.2","0.4","9.8","10.1","11.9","7.8","118.3","113"
"258","Robert Williams III","Bos","C-F","25.5","33","23.3","11.8","15.7","38","0.632","160","0.75","1","0","0.745","0.743","8","8.3","1.4","0.6","1.3","0.9","16.3","9.4","17.7","7.8","147.5","103.8"
"259","Kenrich Williams","Okc","G-F","28.3","53","22.8","13.7","8.5","39","0.436","212","0.608","134","0.373","0.59","0.585","8","4.9","2","0.8","0.3","0.6","12.9","10","14.9","7.5","126.5","107.9"
"260","Pat Connaughton","Mil","G","30.2","59","24.3","13.8","7.3","41","0.659","99","0.566","321","0.34","0.523","0.532","7.9","4.8","1.3","0.6","0.2","0.6","12.7","9.2","14","6","112.6","109.3"
"261","Chris Duarte","Ind","G","25.8","46","19.5","19","11","72","0.847","159","0.428","174","0.316","0.452","0.496","7.9","2.5","1.4","0.5","0.2","0.9","10.4","9.3","11.8","6.2","100.6","115.6"
"262","Duane Washington Jr.","Pho","G","23","31","12.7","32.5","11.7","24","0.667","145","0.372","111","0.36","0.445","0.458","7.9","1.2","2","0.2","0.1","1.1","9","9.9","11.1","8.4","93.5","113.8"
"263","Luke Kennard","Lac","G","26.8","35","20.7","15.1","12.4","20","0.95","79","0.494","132","0.447","0.604","0.623","7.8","2.4","1.1","0.5","0.1","0.9","10.2","8.9","11.3","5.3","113.8","111.8"
"264","Trey Lyles","Sac","F","27.4","68","16.9","18.2","13.6","124","0.815","155","0.6","218","0.367","0.571","0.616","7.8","4","0.9","0.4","0.4","0.9","11.7","8.7","12.6","7.2","118.8","110.4"
"265","Will Barton","Was","G","32.2","40","19.6","19.5","13.7","45","0.778","147","0.395","137","0.38","0.479","0.505","7.7","2.8","2.4","0.4","0.3","1.1","10.4","10.1","12.8","7.6","101.8","114.3"
"266","Jeff Green","Den","F","36.6","52","19.5","16.9","12.7","104","0.74","213","0.577","90","0.289","0.535","0.575","7.7","2.6","1.2","0.3","0.3","0.8","10.3","8.9","11.4","5.9","113","109.6"
"267","Tre Mann","Okc","G","22.2","64","17.7","20.7","10.5","50","0.74","231","0.463","252","0.317","0.47","0.486","7.7","2.2","1.7","0.6","0.2","0.9","9.9","9.4","11.6","6.9","100","109.9"
"268","Mason Plumlee","Lac","F-C","33.1","18","20.5","13.7","27.6","50","0.76","68","0.735","0","0","0.735","0.767","7.7","7.7","1.8","0.5","0.6","1.4","15.4","9.4","17.2","9.3","134.8","102"
"269","Matisse Thybulle","Por","G-F","26.1","20","27.8","11.6","9.9","14","0.571","47","0.553","80","0.388","0.571","0.574","7.7","3.6","1.5","1.7","0.8","0.7","11.2","9.1","12.7","5","116.8","112.7"
"270","Joe Harris","Bro","G-F","31.6","69","21","14.1","8.8","24","0.625","104","0.548","308","0.425","0.615","0.618","7.6","2.3","1.4","0.4","0.2","0.6","9.9","9","11.3","5.5","118.4","110.5"
"271","Edmond Sumner","Bro","G","27.2","50","14.2","22.4","15.4","104","0.923","178","0.506","86","0.36","0.517","0.596","7.4","1.5","1.4","0.6","0.2","1","8.9","8.7","10.2","7","112.5","107"
"272","Jarred Vanderbilt","Lal","F","24","20","25.1","12.7","18.2","31","0.806","87","0.598","25","0.24","0.545","0.585","7.4","7.4","1.8","1.3","0.3","1.3","14.8","9.2","16.6","7.4","117.8","103.5"
"273","Mo Bamba","Orl","C","24.9","40","17","16.3","9.3","51","0.686","106","0.594","108","0.398","0.596","0.613","7.3","4.6","1.1","0.3","1","0.6","11.9","8.3","12.9","7.8","125.4","102.8"
"274","Troy Brown Jr.","Lal","G-F","23.7","70","24.9","12.3","9.8","37","0.892","173","0.514","268","0.373","0.542","0.559","7.3","4.1","1.2","0.8","0.2","0.7","11.4","8.5","12.7","5.3","112.6","109.6"
"275","Reggie Bullock","Dal","G-F","32","74","30.7","10","7.4","37","0.703","70","0.557","381","0.383","0.572","0.58","7.3","3.7","1.3","0.7","0.2","0.5","11","8.7","12.4","4.3","116.2","112.5"
"276","Torrey Craig","Pho","F","32.3","73","25.2","12.8","13.3","43","0.721","222","0.495","240","0.388","0.54","0.551","7.3","5.4","1.5","0.6","0.7","1","12.7","8.8","14.2","6.2","114.1","107.7"
"277","R.J. Hampton","Det","G","22.1","15","18.3","18.3","17.3","33","0.667","40","0.425","46","0.391","0.512","0.547","7.3","2.1","1","0.5","0.1","1.2","9.4","8.3","10.4","5.4","101.7","115.6"
"278","Romeo Langford","San","G-F","23.4","39","20.1","15.3","8.9","49","0.673","188","0.537","57","0.281","0.51","0.531","7.3","2.8","1.2","0.5","0.3","0.6","10.1","8.5","11.3","5.8","112.7","116.7"
"279","Kevon Looney","Gol","F","27.1","77","23.8","10.8","10.6","150","0.6","362","0.638","1","0","0.636","0.643","7.2","9.1","2.5","0.6","0.6","0.6","16.3","9.6","18.8","9.2","148.2","103.4"
"280","Kevin Love","Mia","F-C","34.6","17","20.8","17.3","13.9","20","0.85","29","0.621","82","0.28","0.473","0.509","7.2","5.8","1.9","0.5","0.2","1.1","13","9.1","14.9","8.3","104.7","105.5"
"281","Svi Mykhailiuk","Cha","G-F","25.8","14","18.6","15.6","8.1","25","0.64","36","0.389","43","0.442","0.538","0.561","7.2","1.6","1.7","0.6","0.2","0.5","8.9","8.9","10.6","5.8","117.7","116"
"282","Josh Okogie","Pho","G","24.6","66","18.1","18.1","13.6","168","0.726","198","0.455","177","0.328","0.472","0.53","7.2","3.4","1.4","0.8","0.5","0.9","10.6","8.6","12","7.2","113.2","108.2"
"283","Mitchell Robinson","Nyk","C-F","25","55","27","9.6","12.4","106","0.491","248","0.69","0","0","0.69","0.669","7.2","9","0.8","0.9","1.7","0.6","16.1","8","17","5.5","144.8","104.7"
"284","Willy Hernangomez","Nor","C-F","28.8","37","12.4","23.8","18.7","104","0.779","158","0.544","11","0.273","0.536","0.61","7.1","4.9","0.9","0.5","0.4","1.1","11.9","8","12.8","10.2","118.9","96.8"
"285","Dario Saric","Okc","F","29","17","12.7","21.5","17.8","24","0.875","46","0.652","37","0.351","0.596","0.641","7.1","2.9","0.9","0.3","0","1.1","9.9","7.9","10.8","8.3","114.5","104.1"
"286","Isaiah Jackson","Ind","F","21.2","58","16","17.7","13.4","123","0.65","276","0.583","14","0.143","0.566","0.593","7","4.3","0.8","0.5","1.4","0.8","11.4","7.8","12.2","7.2","120.5","105.3"
"287","Ty Jerome","Gol","G-F","25.7","44","18.5","15","11","41","0.927","152","0.546","90","0.389","0.56","0.594","7","1.8","3.1","0.5","0.1","0.7","8.8","10.1","11.9","7.3","125.6","112.1"
"288","Larry Nance Jr.","Nor","F-C","30.2","60","21.2","12.1","12","75","0.693","245","0.661","42","0.333","0.638","0.653","7","5.5","1.8","0.9","0.6","0.7","12.5","8.8","14.3","7.8","134.5","103.2"
"289","Joshua Primo","San","G","20.3","4","23.4","18.2","29.5","9","0.778","14","0.429","12","0.25","0.404","0.467","7","3.3","4.5","0.3","0.5","2.8","10.3","11.5","14.8","8","90.1","116.1"
"290","Daniel Theis","Ind","F-C","31","7","15.5","20.2","6.4","12","0.417","33","0.576","11","0.182","0.5","0.497","7","3.1","1.3","0.3","0.9","0.4","10.1","8.3","11.4","7.9","108","115.9"
"291","Xavier Tillman","Mem","F","24.2","57","19.1","13.7","12.4","84","0.56","267","0.64","15","0.267","0.628","0.629","7","4.9","1.6","0.9","0.5","0.7","11.9","8.6","13.5","8","130.4","104.7"
"292","Delon Wright","Was","G","30.9","47","24.2","12.5","13.8","52","0.865","152","0.559","109","0.349","0.544","0.579","7","3.4","3.8","1.9","0.4","0.9","10.4","10.8","14.2","7.4","127","112"
"293","Ochai Agbaji","Uta","G","22.9","53","19.2","14.1","9.6","51","0.765","105","0.552","185","0.378","0.562","0.584","6.9","1.9","0.9","0.3","0.2","0.6","8.8","7.8","9.8","4.7","118.3","114.1"
"294","Joe Ingles","Mil","F-G","35.5","42","22.7","12.6","17.3","21","0.857","44","0.545","185","0.4","0.59","0.604","6.9","2.9","3.2","0.7","0.1","1.1","9.8","10","13","7","119.1","107.3"
"295","Anthony Lamb","Gol","F","25.2","57","19.8","13.9","14.6","56","0.75","103","0.65","194","0.376","0.594","0.614","6.9","3.4","1.6","0.5","0.3","0.9","10.4","8.5","12","6.8","119","107.4"
"296","Dwight Powell","Dal","F-C","31.7","72","19.4","13","19.2","166","0.669","259","0.741","5","0","0.727","0.734","6.9","4.2","0.9","0.7","0.3","0.9","11.1","7.8","12","6.1","141.6","103.7"
"297","Jeremiah Robinson-Earl","Okc","F","22.4","41","18.8","14.7","7.5","40","0.825","130","0.554","105","0.333","0.53","0.558","6.9","4.2","1","0.6","0.3","0.5","11.1","7.9","12","6.5","122.8","109.3"
"298","Ben Simmons","Bro","G-F","26.7","42","26.3","14.3","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.2","101.8"
"299","James Wiseman","Gol","C","22","21","12.5","20","12.9","38","0.684","92","0.63","2","0.5","0.633","0.655","6.9","3.5","0.7","0.1","0.3","0.7","10.4","7.6","11","8.2","123.3","101.7"
"300","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.5","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","105.8","109.4"
"301","Evan Fournier","Nyk","G-F","30.4","23","18","18.6","11.2","21","0.857","49","0.408","102","0.324","0.46","0.49","6.8","2","1.5","0.6","0.1","0.8","8.8","8.3","10.3","6.1","102.5","106.8"
"302","Luka Garza","Min","C","24.3","26","9","26.7","10.5","52","0.788","73","0.644","38","0.368","0.613","0.661","6.8","2.3","0.7","0.1","0.1","0.5","9.1","7.5","9.8","9.9","132.7","101"
"303","Trendon Watford","Por","F","22.4","57","18.9","15.1","19.3","83","0.735","216","0.597","55","0.4","0.598","0.626","6.8","3.8","2","0.5","0.2","1.1","10.6","8.8","12.6","7.9","117.8","109.3"
"304","Justise Winslow","Por","F-G","27","29","26.8","14.2","17.8","28","0.714","153","0.438","45","0.311","0.444","0.466","6.8","5","3.4","1","0.4","1.5","11.8","10.1","15.1","7.3","104.6","108.7"
"305","Kendrick Nunn","Lal","G","27.7","39","13.5","23.4","11","21","0.81","125","0.488","126","0.325","0.488","0.503","6.7","1.4","0.9","0.3","0.1","0.8","8.1","7.6","9","6","95.4","111.3"
"306","Terence Davis","Sac","G","25.9","59","13","21.6","12.7","39","0.821","109","0.541","213","0.376","0.556","0.575","6.6","2.3","1.1","0.7","0.2","0.8","8.9","7.7","9.9","7.9","108","104"
"307","Nassir Little","Por","F-G","23.1","53","18.2","16","10.7","44","0.727","143","0.531","156","0.359","0.535","0.553","6.6","2.6","0.9","0.4","0.4","0.7","9.3","7.6","10.2","5.5","108.7","115.1"
"308","Goran Dragic","Chi","G","36.9","50","15.6","21","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","104","110.7"
"309","JaMychal Green","Gol","F-C","32.8","56","14","17.7","17.2","67","0.776","140","0.664","110","0.382","0.624","0.651","6.5","3.6","0.9","0.4","0.4","0.9","10.1","7.4","11","7.9","121.1","103.5"
"310","Jock Landale","Pho","C","27.4","65","14.1","19","15.3","102","0.765","228","0.623","82","0.244","0.555","0.595","6.5","4","1","0.2","0.5","0.9","10.5","7.4","11.4","8.4","119.6","102.9"
"311","David Roddy","Mem","F","22","64","17.2","17","11.8","65","0.631","183","0.563","190","0.3","0.505","0.52","6.5","2.7","0.7","0.5","0.3","0.8","9.2","7.2","9.9","5.4","102.9","107"
"312","Aaron Wiggins","Okc","G-F","24.2","65","18.2","14.4","13.9","62","0.806","218","0.555","110","0.391","0.566","0.592","6.5","3","1.2","0.5","0.2","0.8","9.5","7.6","10.7","6.3","116.6","110"
"313","Patrick Beverley","Lal","G","34.7","45","26.9","10.6","14.8","50","0.78","83","0.506","158","0.348","0.517","0.548","6.4","3.1","2.6","0.9","0.6","0.9","9.5","9","12.1","5.5","112.4","106.9"
"314","Dorian Finney-Smith","Bro","F","29.9","22","27.8","13.9","13","16","0.813","56","0.411","104","0.26","0.397","0.419","6.4","4.9","1.6","0.7","0.5","1.1","11.2","8","12.8","5.3","96","110.5"
"315","Cory Joseph","Det","G","31.6","56","18.8","15.3","14.6","68","0.809","155","0.465","143","0.378","0.513","0.55","6.4","1.6","3.4","0.5","0.1","0.9","8.1","9.8","11.4","6.9","117","116"
"316","Isaac Okoro","Cle","F-G","22.2","76","21.7","12","10.6","103","0.757","183","0.617","171","0.363","0.582","0.614","6.4","2.5","1.1","0.7","0.4","0.6","8.9","7.6","10.1","4.8","123.7","104.7"
"317","Nickeil Alexander-Walker","Uta","G","24.6","36","14.7","18.4","20.9","39","0.692","83","0.578","87","0.402","0.591","0.609","6.3","1.6","2.1","0.7","0.4","1.3","8","8.4","10.1","7.5","111.4","108.6"
"318","Nicolas Batum","Lac","G-F","34.3","73","21.8","11.9","12.2","46","0.696","62","0.565","299","0.401","0.596","0.606","6.3","3.9","1.5","0.7","0.6","0.7","10.2","7.9","11.7","6.1","121.2","107.9"
"319","Julian Champagnie","San","F","21.8","9","16.2","15.5","9.2","1","1","16","0.625","33","0.364","0.571","0.576","6.3","2.7","0.3","0","0.4","0.6","9","6.7","9.3","4.3","106.9","114.1"
"320","Isaiah Livers","Det","F","24.7","49","22.8","11.6","9.3","33","0.788","78","0.564","186","0.349","0.536","0.555","6.3","2.7","0.8","0.6","0.5","0.6","9","7.1","9.8","4.2","111.1","114.5"
"321","Duncan Robinson","Mia","F","28.9","38","16.3","17.6","10.2","26","0.923","39","0.513","172","0.337","0.507","0.535","6.3","1.6","1.1","0.3","0","0.6","7.9","7.3","8.9","5.5","105.5","106.5"
"322","Obi Toppin","Nyk","F","25.1","62","14.4","19","8.4","37","0.784","136","0.559","211","0.327","0.517","0.534","6.3","2.8","0.8","0.3","0.2","0.5","9","7","9.8","6.7","110.2","110.1"
"323","Robert Covington","Lac","F","32.3","44","16.3","16","11","38","0.763","88","0.523","130","0.392","0.562","0.584","6.2","3.4","1.2","0.8","0.7","0.6","9.6","7.4","10.8","7.2","117.3","103.2"
"324","Drew Eubanks","Por","F-C","26.2","74","19.9","11.9","17.6","113","0.673","279","0.667","10","0.3","0.659","0.675","6.2","5.2","1.3","0.5","1.2","0.8","11.4","7.5","12.7","7","131.8","108.5"
"325","Mike Muscala","Okc","F-C","31.7","43","14.5","15.7","6.4","39","0.795","61","0.541","142","0.394","0.576","0.602","6.2","3.1","0.9","0.3","0.4","0.3","9.3","7","10.2","7.1","124.9","105.3"
"326","Oshae Brissett","Ind","F-G","24.8","60","16.5","15.6","8.3","121","0.711","142","0.472","145","0.331","0.484","0.535","6.1","3.3","0.6","0.5","0.2","0.4","9.4","6.7","10","5.6","113.8","114.2"
"327","Andre Drummond","Chi","C","29.6","62","12.8","21.3","21.9","115","0.539","257","0.615","3","0","0.608","0.608","6.1","6.7","0.5","0.7","0.4","1.2","12.8","6.6","13.3","8.5","114.7","93.2"
"328","Sam Hauser","Bos","F","25.3","75","15.6","14.4","6.6","17","0.706","54","0.63","300","0.417","0.626","0.629","6.1","2.5","0.8","0.3","0.3","0.3","8.6","6.8","9.3","5.9","123.4","106.8"
"329","Reggie Jackson","Den","G","33","10","18.6","19.8","13.5","8","0.75","33","0.333","37","0.297","0.393","0.415","6.1","1.4","3","0.5","0.1","1.1","7.5","9.1","10.5","6.3","93","112.6"
"330","Maxi Kleber","Dal","F","31.2","34","25.9","10.1","12.7","37","0.703","53","0.66","105","0.352","0.573","0.594","6.1","3.7","1.3","0.3","0.9","0.7","9.8","7.4","11.1","4.8","119.6","110.7"
"331","Kendrick Nunn","Was","G","27.7","25","12.9","21.9","14.1","12","0.917","67","0.522","67","0.358","0.53","0.549","6.1","1.4","1.5","0.5","0","0.9","7.5","7.6","9","7.3","105.6","113.3"
"332","Jordan Goodwin","Was","G","24.4","56","17.1","16.3","13.9","61","0.754","192","0.516","92","0.337","0.512","0.542","6","3.1","2.4","0.9","0.4","0.8","9.1","8.4","11.5","8.3","115.6","108.1"
"333","Patty Mills","Bro","G","34.6","39","13.6","19.6","11.6","23","0.913","73","0.493","125","0.376","0.538","0.562","6","1.1","1.4","0.4","0.1","0.7","7.1","7.4","8.5","6.2","109.2","115.6"
"334","Jordan Nwora","Mil","F","24.6","38","15.7","17.6","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","105.8","109"
"335","Nickeil Alexander-Walker","Min","G","24.6","18","16.6","17.2","7.1","18","0.611","46","0.391","58","0.345","0.462","0.478","5.9","2.1","1.4","0.3","0.3","0.4","8.1","7.4","9.5","6.2","102.9","111"
"336","Patrick Beverley","Chi","G","34.7","17","27.9","10.9","14.5","15","0.533","30","0.533","64","0.313","0.489","0.497","5.9","5.4","3.5","0.8","0.8","0.9","11.2","9.4","14.8","6.9","113","104.3"
"337","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.3","111.9"
"338","Jaylin Williams","Okc","F","20.8","45","18.6","13.6","13.1","50","0.7","116","0.466","102","0.402","0.53","0.554","5.9","4.9","1.5","0.5","0.3","0.7","10.8","7.4","12.3","7.6","114.1","102.1"
"339","Theo Maledon","Cha","G","21.8","39","16.9","16","18.3","62","0.871","111","0.459","72","0.319","0.467","0.535","5.8","2.5","2.7","0.7","0.3","1.1","8.2","8.4","10.9","8","108.6","111.3"
