"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"122","Malik Monk","Sac","G","25.2","73","22.3","25.9","15.5","202","0.891","377","0.533","378","0.357","0.534","0.585","13.5","2.7","3.9","0.6","0.3","1.9","16.2","17.4","20.1","9.4","113.7","112.3"
"123","Malik Beasley","Uta","G","26.3","55","26.7","21.3","8.2","44","0.841","198","0.485","471","0.359","0.522","0.535","13.4","3.6","1.7","0.8","0.1","1.1","17","15.1","18.7","6.5","107.4","115.4"
"124","James Wiseman","Det","C","22","18","26","21.8","14.3","38","0.684","176","0.585","15","0.2","0.563","0.58","13.4","8.7","0.6","0.2","0.8","1.8","22.1","14","22.7","6.3","108.4","108.3"
"125","Jusuf Nurkic","Por","C","28.6","52","26.7","22.3","19.1","192","0.661","386","0.567","119","0.361","0.561","0.589","13.3","9.1","2.9","0.8","0.8","2.3","22.4","16.2","25.3","10.6","112.9","103.2"
"126","Eric Gordon","Hou","G","34.3","47","30.2","18.2","14.8","135","0.815","233","0.536","245","0.347","0.528","0.572","13.1","2.1","2.9","0.6","0.4","1.8","15.1","16","18","5.7","112.5","122.6"
"127","John Collins","Atl","F-C","25.5","66","30.1","16.9","10.2","154","0.812","443","0.623","215","0.279","0.556","0.59","13","6.6","1.2","0.6","1.1","1.1","19.5","14.2","20.8","6.2","116.1","108"
"128","Rui Hachimura","Was","F","25.1","30","24.3","23.1","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.3","113.6"
"129","Mike Conley","Min","G","35.5","19","31.3","16.5","10.5","45","0.867","79","0.494","108","0.398","0.553","0.595","12.9","3.4","4.9","1.3","0.2","1.2","16.3","17.9","21.3","7.7","125.7","114"
"130","Dennis Schroder","Lal","G","29.5","62","30.5","18.6","14.8","238","0.87","404","0.46","216","0.338","0.477","0.551","12.9","2.5","4.5","0.8","0.1","1.7","15.4","17.4","20","6.9","111.8","111.1"
"131","Cole Anthony","Orl","G","22.9","56","25.7","21.5","12.9","160","0.894","375","0.496","191","0.356","0.509","0.565","12.8","4.7","3.9","0.6","0.5","1.5","17.5","16.7","21.4","9.6","116","106.2"
"132","Alec Burks","Det","G","31.7","51","22","22.7","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.8","112.7"
"133","Kenyon Martin Jr.","Hou","F","22.2","77","27.8","16.6","11.6","203","0.68","466","0.682","210","0.319","0.619","0.637","12.7","5.5","1.5","0.5","0.4","1.2","18.2","14.2","19.7","6.8","125","116.7"
"134","Jordan Nwora","Ind","F","24.6","19","23.8","21.1","12.2","32","0.688","108","0.519","79","0.456","0.588","0.602","12.7","4.5","1.9","0.6","0.3","1.4","17.2","14.7","19.2","8","113.1","114.8"
"135","Nic Claxton","Bro","F-C","24","71","29.7","15.6","14.1","234","0.53","546","0.705","2","0","0.703","0.687","12.6","9.2","1.8","0.8","2.5","1.3","21.8","14.4","23.6","8","132.5","105.5"
"136","Jabari Smith Jr.","Hou","F","19.9","74","30.8","18.4","10.7","189","0.778","455","0.486","375","0.307","0.474","0.511","12.6","7.2","1.3","0.6","0.9","1.4","19.8","13.9","21.1","6.4","106.6","112.4"
"137","Tre Jones","San","G","23.2","62","29.1","19.4","12.9","150","0.86","534","0.496","145","0.269","0.476","0.521","12.5","3.4","6.3","1.4","0.1","1.6","16","18.8","22.3","8.9","113.8","118.4"
"138","Austin Reaves","Lal","G","24.8","58","28.3","16","17.1","228","0.86","242","0.632","190","0.379","0.604","0.674","12.4","3","3.2","0.6","0.3","1.5","15.4","15.6","18.6","7","127.2","112.4"
"139","Kelly Olynyk","Uta","F-C","31.9","63","28.3","17.5","22.6","213","0.859","287","0.578","220","0.386","0.579","0.641","12.2","5.9","3.6","0.9","0.5","2.3","18.1","15.8","21.7","9","118.3","106.2"
"140","Mason Plumlee","Cha","F-C","33.1","56","28.5","15.6","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134.1","106.5"
"141","Derrick White","Bos","G","28.7","77","28.3","17.3","10.5","176","0.875","340","0.541","361","0.388","0.562","0.605","12.2","3.6","3.9","0.7","0.9","1.1","15.8","16.1","19.7","7.8","125.7","107.8"
"142","Thomas Bryant","Lal","C-F","25.7","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.3","105.3"
"143","Clint Capela","Atl","C","28.9","60","26.7","15.8","9","115","0.6","503","0.652","1","0","0.651","0.654","12.1","11.2","0.9","0.7","1.2","0.8","23.3","13","24.2","7.4","137.4","108.2"
"144","Bones Hyland","Den","G","22.5","42","19.5","28.6","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.1","110.1"
"145","Jaden McDaniels","Min","F","22.5","74","30.6","15.8","13","143","0.741","423","0.591","251","0.386","0.587","0.609","12.1","3.9","1.9","0.9","0.9","1.4","16","14.1","17.9","5.9","116.3","107.5"
"146","Jakob Poeltl","San","C","27.5","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.2","110.8"
"147","Marvin Bagley III","Det","F","24","38","23.8","20","10.4","93","0.742","287","0.589","58","0.276","0.559","0.59","12","6.7","0.9","0.5","0.8","1.1","18.6","12.9","19.5","7","119","112.2"
"148","Lonnie Walker IV","Lal","G-F","24.3","54","23.8","20.2","8.1","106","0.858","276","0.522","247","0.36","0.531","0.567","12","2","1.2","0.6","0.3","0.9","13.9","13.1","15.1","5.2","110.4","113"
"149","Caris LeVert","Cle","G","28.6","71","30.1","18.9","13.7","175","0.72","405","0.462","305","0.38","0.508","0.539","11.9","3.8","3.9","1","0.3","1.6","15.8","15.8","19.6","7.5","110.6","106.4"
"150","Keegan Murray","Sac","F","22.6","74","29.7","15.8","7.5","78","0.756","251","0.518","462","0.407","0.578","0.591","11.9","4.6","1.2","0.8","0.5","0.8","16.5","13.1","17.7","5.4","117.2","112.5"
